,language,f1,precision,recall,accuracy
0,english,0.7202578007418148,0.724806470253124,0.7301019074993467,0.721274829149901
1,chinese,0.6883940891374537,0.6936056507921059,0.7165235521039541,0.6994011357769747
2,turkish,0.5667555911142542,0.607508736166696,0.6000983515306214,0.5692894844508721
3,spanish,0.5845623570585339,0.6249784295848033,0.6280288482608926,0.5850661533588363
4,yoruba,0.5033957428834838,0.638213138258444,0.602646506451583,0.5135480842525018
5,polish,0.6521295845308792,0.6966995604370659,0.6617891109022367,0.6715227896042836
6,ukrainian,0.45593296761258717,0.6539250068498783,0.5991147094430993,0.46867816091954023
