,language,f1,precision,recall,accuracy
0,english,0.6778040924569785,0.719328428937305,0.7070291774434991,0.6790658065614954
1,chinese,0.656523733394305,0.6949128451425279,0.712,0.6586666666666666
2,turkish,0.5678391568029044,0.6296385210507073,0.6128567099175299,0.5731580091284503
3,spanish,0.5640345004696874,0.6281119690741972,0.6227152807091599,0.5644599303135889
4,yoruba,0.5613818566745153,0.6421255364152224,0.6306281300398947,0.5628388593931296
5,polish,0.6589393107823611,0.7085113725683135,0.6688917861799217,0.6790322580645162
6,ukrainian,0.5146856612661193,0.6706379199326031,0.6366298426150121,0.5252873563218391
